City,Country,Date,Latitude,Longitude,Temperatrue,Humidity,Cloudiness,Wind Speed
Nizhniy Kuranakh,RU,1612828655,58.8353,125.4869,-10.52,88,100,1.63
Oriximiná,BR,1612828655,-1.7656,-55.8661,80.15,72,87,3.24
Saint George,US,1612828655,37.1041,-113.5841,64.0,15,1,3.44
Lagoa,PT,1612828656,39.05,-27.9833,59.5,75,100,26.4
Truth or Consequences,US,1612828436,33.1284,-107.2528,73.4,6,1,14.97
Pierre,US,1612828656,44.3683,-100.351,9.0,61,40,4.61
Nānākuli,US,1612828656,21.3906,-158.1547,80.6,44,1,14.97
Nowa Dęba,PL,1612828656,50.4297,21.7508,19.99,68,99,1.01
Tamiahua,MX,1612828656,21.2667,-97.45,72.75,87,1,10.04
Beyneu,KZ,1612828656,45.3167,55.2,21.85,81,100,4.94
Mitchell,US,1612828656,43.7094,-98.0298,8.6,61,75,3.44
Vélingara,SN,1612828657,13.15,-14.1167,78.89,17,0,8.16
Pergine Valsugana,IT,1612828657,46.065,11.238,39.0,93,90,16.11
Khovd,MN,1612828657,48.0056,91.6419,12.36,88,42,1.7
Lebyazh'ye,RU,1612828657,55.2689,66.4947,-10.48,88,100,14.45
Bathsheba,BB,1612828657,13.2167,-59.5167,77.0,65,0,16.11
Nemuro,JP,1612828657,43.3236,145.575,17.6,57,40,8.05
La Salle,US,1612828657,41.3334,-89.0918,8.6,78,100,6.06
São Filipe,CV,1612828555,14.8961,-24.4956,70.14,77,100,11.16
Guerrero Negro,MX,1612828658,27.9769,-114.0611,65.98,50,21,12.08
Havre-St-Pierre,CA,1612828658,50.2334,-63.5986,23.0,68,75,12.66
Verāval,IN,1612828658,20.9,70.3667,69.49,42,0,8.28
Codrington,AU,1612828658,-38.2667,141.9667,64.17,59,5,12.21
Pitimbu,BR,1612828658,-7.4706,-34.8086,80.6,78,20,8.05
Bensonville,LR,1612828508,6.4461,-10.6125,77.0,94,20,3.31
Marrakesh,MA,1612828365,31.6315,-8.0083,53.6,87,20,6.91
Tual,ID,1612828659,-5.6667,132.75,83.35,80,95,16.08
Pangnirtung,CA,1612828551,66.1451,-65.7125,15.8,53,1,3.36
Ponazyrevo,RU,1612828659,58.3578,46.3142,-7.04,91,99,7.52
Vieques,PR,1612828659,18.425,-65.8329,78.8,78,75,12.66
Kantang,TH,1612828659,7.4054,99.5156,73.4,100,20,3.2
Krasnoarmiys'k,UA,1612828660,48.282,37.1758,22.32,96,100,20.31
Moose Factory,CA,1612828660,51.2585,-80.6094,-11.2,64,1,3.44
Kununurra,AU,1612828660,-15.7667,128.7333,80.6,89,90,5.75
Esna,EG,1612828467,25.2934,32.554,62.6,42,0,4.61
Barreirinhas,BR,1612828660,-2.7469,-42.8264,79.52,80,92,8.01
Tsimmerbude,RU,1612828660,54.675,20.1347,17.6,86,90,22.37
Bemidji,US,1612828388,47.4736,-94.8803,-9.4,59,1,5.75
Caravelas,BR,1612828661,-17.7125,-39.2481,72.86,93,100,1.52
Vostok,RU,1612828661,46.4856,135.8833,-9.18,90,100,6.06
Chilca,PE,1612828661,-12.5211,-76.7372,73.4,78,0,17.27
Dikson,RU,1612828661,73.5069,80.5464,-30.98,85,80,13.69
Brakel,DE,1612828661,51.7167,9.1833,15.01,91,99,5.37
Hay River,CA,1612828661,60.8156,-115.7999,-22.0,69,75,19.57
Sterling,US,1612828536,39.0062,-77.4286,34.0,51,40,6.91
Yambio,SS,1612828662,4.5721,28.3955,66.79,29,84,2.55
Arraial do Cabo,BR,1612828662,-22.9661,-42.0278,73.4,94,75,3.87
Asău,RO,1612828662,46.4333,26.4,33.8,100,90,2.3
Bolotnoye,RU,1612828662,55.6717,84.3981,3.7,90,92,21.99
Oddur,SO,1612828663,4.1213,43.8894,69.3,78,64,16.96
Shitanjing,CN,1612828663,39.2342,106.3439,25.27,76,11,1.32
Slănic-Moldova,RO,1612828663,46.2,26.4333,44.01,100,90,2.3
Lake Shasta,US,1612828663,40.6804,-122.3708,61.0,37,100,1.01
Roald,NO,1612828663,62.5833,6.1333,19.0,73,0,9.22
Scottsbluff,US,1612828663,41.8666,-103.6672,12.2,73,90,10.36
Morón,AR,1612828663,-34.6534,-58.6198,69.01,88,40,11.5
Wagga Wagga,AU,1612828664,-35.1167,147.3667,75.99,60,0,13.8
Dauphin,CA,1612828664,51.1494,-100.0502,-14.8,64,1,28.77
Huangpu,CN,1612828664,25.4433,113.1747,52.36,80,100,3.78
Balsas,BR,1612828664,-7.5325,-46.0356,74.79,88,93,1.39
Mildura,AU,1612828664,-34.2,142.15,73.0,52,0,8.05
Cabra,ES,1612828664,37.4725,-4.4421,51.01,82,90,6.08
Hilton Head,US,1612828510,32.2163,-80.7526,53.01,87,75,10.36
Sur,OM,1612828382,22.5667,59.5289,66.45,80,94,7.29
Bethel,US,1612828665,41.3712,-73.414,21.99,63,1,1.83
Manokwari,ID,1612828665,-0.8667,134.0833,78.66,87,100,3.18
Zorritos,PE,1612828665,-3.6805,-80.6782,79.02,69,50,11.45
Nanortalik,GL,1612828666,60.1432,-45.2371,29.17,90,92,12.82
Methana,GR,1612828666,37.5823,23.3914,61.0,68,3,4.0
Punta Cardon,VE,1612828666,11.6581,-70.215,77.38,79,0,25.01
Sambava,MG,1612828666,-14.2667,50.1667,75.63,89,74,4.43
Saldanha,ZA,1612828666,-33.0117,17.9442,66.2,82,0,11.5
Ghātāl,IN,1612828666,22.6667,87.7167,55.09,48,0,3.31
Samarai,PG,1612828667,-10.6167,150.6667,84.42,73,100,3.78
Aklavik,CA,1612828667,68.2191,-135.0107,-34.6,67,100,3.44
Kruisfontein,ZA,1612828667,-34.0033,24.7314,63.0,87,0,1.99
Chui,UY,1612828609,-33.6971,-53.4616,64.69,90,89,4.41
Severo-Kuril'sk,RU,1612828495,50.6789,156.125,22.3,85,12,2.04
Tanout,NE,1612828667,14.9709,8.8879,64.67,22,4,11.52
Vinstra,NO,1612828668,61.5952,9.7523,4.68,81,92,4.43
Okhotsk,RU,1612828668,59.3833,143.3,12.85,89,91,10.27
Harper,LR,1612828668,4.375,-7.7169,78.44,85,100,3.67
Iqaluit,CA,1612828668,63.7506,-68.5145,23.0,80,90,3.44
Alvorada,BR,1612828412,-12.48,-49.1247,71.06,96,72,2.42
Newport,GB,1612828668,51.5877,-2.9984,33.01,81,20,17.36
Richards Bay,ZA,1612828655,-28.783,32.0377,74.41,91,85,3.98
Amapá,BR,1612828668,1.0,-52.0,73.13,97,98,4.16
Bereket,TM,1612828669,39.2446,55.5154,48.34,71,4,5.01
Ancud,CL,1612828669,-41.8697,-73.8203,71.6,53,0,6.91
Shintomi,JP,1612828669,32.0785,131.4723,39.2,48,20,9.22
Chaiyaphum,TH,1612828669,15.75,102.0,69.67,81,100,7.65
Letka,RU,1612828669,59.6011,49.4232,-16.98,86,80,8.81
Linxia Chengguanzhen,CN,1612828669,35.6003,103.2064,29.16,75,0,1.5
Kaitangata,NZ,1612828670,-46.2817,169.8464,62.01,90,100,8.99
Andreapol',RU,1612828670,56.6513,32.2664,3.04,94,98,4.88
Buraidah,SA,1612828670,26.326,43.975,54.05,65,0,3.18
Atar,MR,1612828670,20.5169,-13.0499,62.22,30,0,9.17
Norman Wells,CA,1612828670,65.282,-126.8329,-27.4,75,1,8.05
Tricase,IT,1612828670,39.9304,18.3553,53.6,87,0,6.91
Salinópolis,BR,1612828670,-0.6136,-47.3561,79.2,85,94,12.44
Chicholi,IN,1612828671,21.4667,79.6833,54.12,40,0,3.44
Anadyr,RU,1612828671,64.75,177.4833,10.4,72,75,15.66
Kenora,CA,1612828671,49.8167,-94.4337,-14.8,53,1,18.41
Arman',RU,1612828671,59.7,150.1667,5.81,92,100,14.27
Puerto Madryn,AR,1612828671,-42.7692,-65.0385,63.34,63,0,24.02
Ahtopol,BG,1612828671,42.1,27.95,51.8,93,75,10.36
Barkot,IN,1612828671,30.8167,78.2,50.31,41,27,4.72
Vila Velha,BR,1612828418,-20.3297,-40.2925,78.01,94,75,1.14
Alofi,NU,1612828672,-19.0595,-169.9187,87.8,66,75,12.66
Glace Bay,CA,1612828672,46.1969,-59.957,28.99,86,90,25.32
Blantyre,MW,1612828672,-15.785,35.0085,68.74,88,100,3.83
Thoen,TH,1612828672,17.6129,99.2161,64.71,90,55,3.22
Narsaq,GL,1612828644,60.9167,-46.05,39.2,28,40,36.82
Mahébourg,MU,1612828497,-20.4081,57.7,77.0,88,40,3.44
São José da Coroa Grande,BR,1612828672,-8.8978,-35.1478,78.42,78,10,9.64
Goderich,CA,1612828532,43.7501,-81.7165,14.0,79,100,5.75
Chapada dos Guimarães,BR,1612828673,-15.4606,-55.7497,87.8,42,0,4.61
Nioro,GM,1612828673,13.35,-15.75,77.83,17,17,9.31
Takoradze,GH,1612828673,4.8845,-1.7554,79.59,87,9,9.86
Malé,MV,1612828673,4.1748,73.5089,82.4,74,20,17.27
Igrim,RU,1612828673,63.1906,64.4162,-14.03,89,99,5.1
Meulaboh,ID,1612828673,4.1363,96.1285,75.92,87,4,3.85
Salalah,OM,1612828673,17.0151,54.0924,73.4,53,0,4.61
Sirte,LY,1612828674,31.2089,16.5887,63.79,37,0,8.39
Maceió,BR,1612828674,-9.6658,-35.7353,75.2,88,0,6.91
Erzin,TR,1612828674,36.9559,36.2,55.4,100,95,2.3
Inuvik,CA,1612828674,68.3499,-133.7218,-34.6,67,95,3.44
Taltal,CL,1612828674,-25.4,-70.4833,66.31,75,23,4.85
Beipiao,CN,1612828674,41.7919,120.7792,18.7,82,0,2.39
Hornepayne,CA,1612828674,49.2138,-84.7705,-10.97,86,55,5.88
Seoul,KR,1612828555,37.5683,126.9778,21.2,73,0,2.3
Coyhaique,CL,1612828675,-45.5752,-72.0662,84.2,30,0,4.61
Barranca,PE,1612828675,-10.75,-77.7667,71.06,83,92,7.11
Maria Aurora,PH,1612828675,15.7967,121.4737,72.52,86,96,2.59
Loa Janan,ID,1612828675,-0.583,117.095,77.4,91,100,0.81
Mulanje,MW,1612828675,-16.0316,35.5,69.91,88,96,3.62
Port-Gentil,GA,1612828675,-0.7193,8.7815,80.6,94,75,4.61
Sāndi,IN,1612828675,27.3,79.95,52.86,63,0,5.68
Akhaldaba,GE,1612828676,41.654,42.1516,60.8,41,75,18.41
Margate,GB,1612828676,51.3813,1.3862,30.99,73,100,4.0
Ormara,PK,1612828676,25.2088,64.6357,67.44,58,51,8.46
Ayr,GB,1612828676,55.4627,-4.6339,30.2,80,0,12.66
Talnakh,RU,1612828676,69.4865,88.3972,0.37,89,100,8.03
Cabo San Lucas,MX,1612828676,22.8909,-109.9124,73.99,40,1,13.8
Ostrovnoy,RU,1612828662,68.0531,39.5131,4.33,91,96,19.24
Prince Rupert,CA,1612828677,54.3161,-130.3201,30.2,47,90,6.91
Esperance,AU,1612828497,-33.8667,121.9,64.4,82,75,6.91
Roswell,US,1612828442,34.0232,-84.3616,54.0,50,1,6.91
Mandera,KE,1612828677,3.9366,41.867,78.39,57,40,16.13
Port Blair,IN,1612828677,11.6667,92.75,74.52,76,84,11.63
Qarqīn,AF,1612828677,37.4185,66.0436,52.5,55,61,7.87
Khudumelapye,BW,1612828677,-23.8833,24.75,67.53,87,3,6.49
Dori,BF,1612828678,14.0354,-0.0345,74.89,18,20,7.67
Yumen,CN,1612828678,40.2833,97.2,26.26,77,67,6.06
Mount Gambier,AU,1612828679,-37.8333,140.7667,62.6,59,0,17.27
Chokurdakh,RU,1612828679,70.6333,147.9167,-13.07,85,0,10.18
Praia,CV,1612828679,14.9215,-23.5087,68.0,77,90,18.41
Olafsvik,IS,1612828679,64.8945,-23.7142,34.41,85,89,14.85
Ritchie,ZA,1612828680,-29.038,24.6028,68.0,83,9,2.3
Sīrjān,IR,1612828680,29.452,55.6814,44.53,57,0,6.46
Slave Lake,CA,1612828680,55.2834,-114.769,-16.6,63,1,19.57
Lüderitz,NA,1612828680,-26.6481,15.1594,70.75,55,0,18.99
Cayenne,GF,1612828680,4.9333,-52.3333,78.8,78,75,8.05
Dickinson,US,1612828588,29.4608,-95.0513,66.0,88,75,9.22
Lang Son,VN,1612828445,21.8333,106.7333,58.41,90,100,6.42
Camaná,PE,1612828680,-16.6228,-72.7111,73.13,78,49,6.4
Dabakala,CI,1612828680,8.3667,-4.4333,79.18,60,3,4.38
Illapel,CL,1612828681,-31.6308,-71.1653,64.99,56,0,3.89
Ozorków,PL,1612828681,51.9634,19.2914,16.0,86,90,2.3
Yaan,NG,1612828681,7.3833,8.5667,79.59,19,94,4.36
Xining,CN,1612828681,36.6167,101.7667,23.95,65,55,2.08
Lebu,CL,1612828681,-37.6167,-73.65,60.58,91,7,8.48
Morris,US,1612828681,40.8334,-74.5329,23.0,68,1,3.22
Makakilo City,US,1612828614,21.3469,-158.0858,80.6,44,1,14.97
Oranjestad,AW,1612828445,12.524,-70.027,80.6,74,20,20.71
Laguna,US,1612828678,38.421,-121.4238,63.0,51,1,3.0
Porto-Novo,BJ,1612828682,6.4965,2.6036,84.2,74,20,13.8
Bowen,AU,1612828682,-20.0167,148.2333,82.4,74,40,10.36
Najrān,SA,1612828683,17.4924,44.1277,53.6,94,75,6.91
Villa Bruzual,VE,1612828683,9.3328,-69.1208,83.43,51,72,6.26
Hlukhiv,UA,1612828683,51.6782,33.9162,13.78,96,100,21.0
Ayan,RU,1612828683,56.45,138.1667,-4.47,79,100,15.3
Aksu,CN,1612828683,41.1231,80.2644,28.9,78,97,1.43
Hohhot,CN,1612828578,40.8106,111.6522,12.2,67,0,4.47
Dali,CN,1612828683,25.7,100.1833,41.9,85,100,1.79
Riosucio,CO,1612828683,5.4216,-75.7032,66.2,94,75,14.97
Magadan,RU,1612828463,59.5667,150.8,10.38,93,100,13.71
Jacqueville,CI,1612828684,5.2052,-4.4146,80.6,100,20,4.61
Durusu,TR,1612828684,41.3053,28.6767,59.0,72,75,23.02
Los Reyes Acaquilpan,MX,1612828684,19.35,-98.9667,77.0,10,1,8.05
Henties Bay,NA,1612828684,-22.116,14.2845,66.0,85,49,3.0
Deputatsky,RU,1612828684,69.3,139.9,-20.22,87,3,3.96
Nosy Varika,MG,1612828684,-20.5833,48.5333,78.22,85,92,7.83
Sittwe,MM,1612828685,20.15,92.9,62.26,65,0,6.98
Manono,CD,1612828685,-7.3,27.4167,69.71,93,100,1.86
Smolenka,RU,1612828685,52.1352,113.4974,5.0,78,96,4.47
Smithers,CA,1612828685,54.7804,-127.1743,6.8,51,40,11.5
Sovetsk,RU,1612828685,55.0839,21.8785,15.33,96,100,16.87
Jambi City,ID,1612828686,-1.6,103.6167,75.4,94,99,2.55
Kryve Ozero,UA,1612828686,47.9524,30.3493,38.07,98,100,13.76
Gazli,UZ,1612828686,40.1333,63.45,40.3,71,22,6.82
Lázně Bohdaneč,CZ,1612828686,50.0756,15.6798,21.2,86,90,3.44
Ocotal,NI,1612828686,13.6321,-86.4752,74.53,58,28,4.85
Luganville,VU,1612828686,-15.5333,167.1667,84.13,60,5,2.35
Alice Springs,AU,1612828687,-23.7,133.8833,87.8,37,0,8.05
Birjand,IR,1612828687,32.8663,59.2211,35.6,69,0,4.61
Olinda,BR,1612828687,-8.0089,-34.8553,80.6,69,40,8.05
Coquimbo,CL,1612828521,-29.9533,-71.3436,64.4,72,0,11.5
Opunake,NZ,1612828687,-39.4556,173.8583,66.99,75,92,13.0
Queensferry,GB,1612828687,55.9833,-3.4,32.0,93,75,9.22
Araouane,ML,1612828688,18.9048,-3.5265,64.94,23,98,9.48
Hervey Bay,AU,1612828688,-25.2986,152.8535,84.0,57,33,14.97
Mount Isa,AU,1612828688,-20.7333,139.5,78.8,100,40,8.05
Saint-Joseph,RE,1612828688,-21.3667,55.6167,77.0,57,20,6.91
Verkhnyaya Inta,RU,1612828688,65.9811,60.3094,-19.75,88,100,2.91
Port Lincoln,AU,1612828689,-34.7333,135.8667,70.43,63,32,15.86
Baykit,RU,1612828689,61.67,96.37,21.11,94,100,12.33
Kholm,RU,1612828689,59.2667,32.85,0.05,92,0,4.03
